UID,Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval, ITL 
6922,I need a loan to support my side business selling handmade candles.,"? 32,435.00",555,13096,26.43,unemployed,Rejected, 0.40 
6923,I want to start a local transportation service and need funds for a van.,"? 139,216.00",363,104505,25.06,employed,Rejected, 0.75 
6924,I want to invest in livestock to start a small dairy farm.,"? 124,337.00",637,38229,12.02,unemployed,Rejected, 0.31 
6925,I need money to launch my own tech startup focused on AI solutions.,"? 178,238.00",373,94202,21.21,employed,Rejected, 0.53 
6926,I want to start a local transportation service and need funds for a van.,"? 82,379.00",819,59947,46.07,employed,Rejected, 0.73 
6927,I need a loan to start a small business.,"? 39,355.00",635,10061,32.82,unemployed,Rejected, 0.26 
6928,I need a loan to pay for a down payment on my first home.,"? 150,194.00",723,76280,15.03,employed,Approved, 0.51 
6929,I need money to pay for a vocational training course in plumbing.,"? 124,846.00",386,47143,25.43,unemployed,Rejected, 0.38 
6930,I need money to invest in a franchise business opportunity.,"? 110,801.00",440,22826,34.57,employed,Rejected, 0.21 
6931,I need funds to pay for my pilot training program.,"? 48,448.00",635,18622,99.13,employed,Rejected, 0.38 
6932,I want to invest in livestock to start a small dairy farm.,"? 167,514.00",612,70085,24.97,unemployed,Rejected, 0.42 
6933,I need a loan to install a security system at home.,"? 195,873.00",562,121066,13.25,unemployed,Rejected, 0.62 
6934,I need money to invest in a franchise business opportunity.,"? 123,569.00",378,72084,16.65,unemployed,Rejected, 0.58 
6935,I need a loan to support my side business selling handmade candles.,"? 183,927.00",648,9903,3.3,employed,Approved, 0.05 
6936,I need a loan to pay for my son's medical treatment and therapy.,"? 175,802.00",654,117287,17.77,employed,Rejected, 0.67 
6937,I need a loan to develop and launch my mobile app startup.,"? 74,601.00",673,50585,58.63,employed,Rejected, 0.68 
6938,I need funds to pay for my pilot training program.,"? 24,001.00",419,10331,178.98,employed,Rejected, 0.43 
6939,I need financial help to pay off my high-interest payday loans.,"? 187,016.00",770,109807,3.75,unemployed,Rejected, 0.59 
6940,I want to make home improvements like installing solar panels.,"? 167,304.00",635,61225,29.29,unemployed,Rejected, 0.37 
6941,I need funds to pay for my daughter's college tuition.,"? 159,212.00",804,6451,25.16,unemployed,Rejected, 0.04 
6942,I need money to cover unexpected legal expenses related to a dispute.,"? 20,187.00",443,15784,34.2,employed,Rejected, 0.78 
6943,I need a loan to repair my car after an accident.,"? 164,331.00",402,21701,5.7,employed,Rejected, 0.13 
6944,I need funds to expand my home-based bakery to a physical store.,"? 123,813.00",788,29814,26.72,unemployed,Rejected, 0.24 
6945,I need a loan to buy a motorcycle for daily transportation.,"? 24,574.00",504,15542,192.86,employed,Rejected, 0.63 
6946,I need financial support to renovate my rental apartment.,"? 85,593.00",815,50195,22.98,unemployed,Rejected, 0.59 
6947,I want to buy a car for my rideshare business on Uber.,"? 146,618.00",300,84964,23.97,employed,Rejected, 0.58 
6948,I need a loan to start a small business.,"? 111,096.00",715,43726,43.4,unemployed,Rejected, 0.39 
6949,I need a loan to pay for a digital marketing course to grow my business.,"? 70,800.00",717,32346,52.34,employed,Rejected, 0.46 
6950,I need funds to launch my handmade jewelry brand online.,"? 88,325.00",700,27375,39.09,employed,Approved, 0.31 
6951,I need money to purchase updated equipment for my photography business.,"? 122,883.00",557,1738,35.91,unemployed,Rejected, 0.01 
6952,I need money to start a home-based catering business.,"? 131,596.00",845,98814,28.46,employed,Rejected, 0.75 
6953,"I need financial help to cover wedding expenses, including the venue and catering.","? 112,743.00",829,57197,33.65,employed,Approved, 0.51 
6954,I need a loan to relocate to a new city after getting a job offer.,"? 62,160.00",638,7194,30.43,employed,Approved, 0.12 
6955,I need money to cover adoption fees and related expenses.,"? 130,735.00",729,42449,10.23,unemployed,Rejected, 0.32 
6956,I need financial support to pay for my son's football training program.,"? 153,271.00",349,5281,32.61,unemployed,Rejected, 0.03 
6957,I need a loan to upgrade my small music studio with better equipment.,"? 33,565.00",613,3969,17.65,unemployed,Rejected, 0.12 
6958,I need funds to pay for my pilot training program.,"? 52,020.00",623,31595,86.26,employed,Rejected, 0.61 
6959,I need a loan to buy a reliable used car for work commuting.,"? 26,704.00",372,2821,161.04,employed,Rejected, 0.11 
6960,I need money to invest in stock trading and portfolio building.,"? 74,954.00",831,21986,50.95,unemployed,Rejected, 0.29 
6961,I need financial support to open a daycare center in my neighborhood.,"? 135,612.00",537,41505,34.17,unemployed,Rejected, 0.31 
6962,I need a loan to pay for a digital marketing course to grow my business.,"? 83,966.00",711,31405,50.63,employed,Rejected, 0.37 
6963,I need funds to upgrade my computer and buy software for freelance work.,"? 47,429.00",515,35808,25.37,unemployed,Rejected, 0.75 
6964,I need money to open a small bookstore and café.,"? 150,498.00",369,29709,26.13,employed,Rejected, 0.20 
6965,I want to make home improvements like installing solar panels.,"? 72,724.00",313,20254,38.43,employed,Rejected, 0.28 
6966,I need money to launch my own tech startup focused on AI solutions.,"? 187,090.00",559,46912,25.61,unemployed,Rejected, 0.25 
6967,I want to expand my small online clothing store.,"? 47,148.00",388,3742,91.63,employed,Rejected, 0.08 
6968,I need financial help to cover maternity and delivery expenses.,"? 177,591.00",607,78019,3.35,employed,Approved, 0.44 
6969,I need a loan to pay for a digital marketing course to grow my business.,"? 36,529.00",485,19504,69.93,unemployed,Rejected, 0.53 
6970,I need funds to pay for my daughter's college tuition.,"? 199,107.00",533,65724,7.1,unemployed,Rejected, 0.33 
6971,I want to buy a car for my rideshare business on Uber.,"? 142,751.00",698,5754,23.25,unemployed,Rejected, 0.04 
6972,I need funds to stock inventory for my new retail store.,"? 157,255.00",627,118210,6.14,employed,Rejected, 0.75 
6973,I need a loan to cover hospital bills after an unexpected surgery.,"? 24,376.00",517,16413,172.19,employed,Rejected, 0.67 
6974,I need financial help to install a swimming pool in my backyard.,"? 140,883.00",593,88703,17.05,employed,Rejected, 0.63 
6975,I need money to cover unexpected medical expenses from surgery.,"? 158,424.00",402,26762,24.28,unemployed,Rejected, 0.17 
6976,I need a loan to finance my MBA and career advancement.,"? 62,226.00",509,41860,74.77,unemployed,Rejected, 0.67 
6977,I want to consolidate my credit card debts into one manageable payment.,"? 67,280.00",694,16883,44.63,employed,Approved, 0.25 
6978,I need a loan to start a small business.,"? 143,711.00",425,41490,19.36,employed,Rejected, 0.29 
6979,I want to pay off my payday loans and switch to a lower-interest option.,"? 50,728.00",527,7910,38.7,employed,Rejected, 0.16 
6980,I need money to purchase specialized tools for my auto repair shop.,"? 153,524.00",724,45711,5.67,unemployed,Rejected, 0.30 
6981,I need money to invest in stock trading and portfolio building.,"? 126,428.00",763,10368,29.53,employed,Approved, 0.08 
6982,I need money to cover unexpected legal expenses related to a dispute.,"? 28,747.00",533,6114,30.86,unemployed,Rejected, 0.21 
6983,I need funds to launch my handmade jewelry brand online.,"? 134,780.00",576,47861,5.34,employed,Approved, 0.36 
6984,I need a loan to finance my MBA and career advancement.,"? 198,146.00",313,110483,9.44,employed,Rejected, 0.56 
6985,I need money to open a small bookstore and café.,"? 134,794.00",800,64199,29.47,employed,Approved, 0.48 
6986,I need funds to stock inventory for my new retail store.,"? 89,805.00",783,23933,53.91,unemployed,Rejected, 0.27 
6987,I want to pay off my payday loans and switch to a lower-interest option.,"? 109,549.00",776,25817,8.4,unemployed,Rejected, 0.24 
6988,I need a loan to pay for a digital marketing course to grow my business.,"? 171,044.00",724,68833,21.19,unemployed,Rejected, 0.40 
6989,I need money to refinance my home loan at a lower interest rate.,"? 101,048.00",623,60324,19.79,unemployed,Rejected, 0.60 
6990,I need money to cover adoption fees and related expenses.,"? 113,177.00",754,39950,21.82,employed,Approved, 0.35 
6991,I want to pay off my payday loans and switch to a lower-interest option.,"? 56,568.00",729,40553,84.69,employed,Rejected, 0.72 
6992,I need a loan to pay for an international vacation with my family.,"? 156,478.00",674,100863,7.56,employed,Rejected, 0.64 
6993,I need a loan to pay for an international vacation with my family.,"? 102,489.00",743,33722,35.34,employed,Approved, 0.33 
6994,I need money to launch my own tech startup focused on AI solutions.,"? 110,261.00",376,61286,23.54,unemployed,Rejected, 0.56 
6995,I need a loan to pay for a digital marketing course to grow my business.,"? 130,221.00",806,86066,5.7,unemployed,Rejected, 0.66 
6996,I need a loan to relocate to a new city after getting a job offer.,"? 193,282.00",723,3423,20.63,employed,Approved, 0.02 
6997,I want to start a local transportation service and need funds for a van.,"? 74,924.00",369,15636,57.66,unemployed,Rejected, 0.21 
6998,I need financial assistance to launch my own YouTube content creation business.,"? 104,832.00",361,64552,15.86,unemployed,Rejected, 0.62 
6999,I need money to publish and market my self-written book.,"? 132,283.00",352,82999,16.1,unemployed,Rejected, 0.63 
7000,I want to purchase land to start an organic farming venture.,"? 118,781.00",507,28075,17.51,employed,Rejected, 0.24 
7001,I need money to pay for a vocational training course in plumbing.,"? 98,814.00",668,37555,14.24,unemployed,Rejected, 0.38 
7002,I need money to invest in stock trading and portfolio building.,"? 34,050.00",647,11380,29.53,unemployed,Rejected, 0.33 
7003,I need money to purchase specialized tools for my auto repair shop.,"? 159,058.00",436,26215,19.72,employed,Rejected, 0.16 
7004,I need funds to buy new furniture and appliances for my house.,"? 63,565.00",575,49430,77.69,employed,Rejected, 0.78 
7005,I want to start a small roadside food stall and need funds for equipment.,"? 43,245.00",686,26538,28.25,employed,Rejected, 0.61 
7006,I need money to publish and market my self-written book.,"? 185,658.00",686,122292,23.17,unemployed,Rejected, 0.66 
7007,I need a loan to build a website and market my freelance services.,"? 129,567.00",484,83915,14.76,unemployed,Rejected, 0.65 
7008,"I need a loan for home renovation, including a kitchen remodel.","? 74,818.00",652,19291,63.75,unemployed,Rejected, 0.26 
7009,I need a loan to pay for a down payment on my first home.,"? 68,606.00",723,7290,57.59,employed,Rejected, 0.11 
7010,I need financial assistance to buy farm equipment for my agricultural business.,"? 180,093.00",458,74536,9.28,employed,Rejected, 0.41 
7011,I need money to cover adoption fees and related expenses.,"? 78,437.00",442,50392,49.02,employed,Rejected, 0.64 
7012,I need financial support to open a daycare center in my neighborhood.,"? 68,609.00",656,45905,30.27,unemployed,Rejected, 0.67 
7013,I need money to refinance my home loan at a lower interest rate.,"? 151,543.00",669,45790,15.17,unemployed,Rejected, 0.30 
7014,I need funds to upgrade my computer and buy software for freelance work.,"? 36,888.00",468,18654,70.1,employed,Rejected, 0.51 
7015,I need a loan to cover emergency expenses after a natural disaster.,"? 88,492.00",303,31440,9.44,unemployed,Rejected, 0.36 
7016,I need a loan to pay for legal fees related to my business license.,"? 78,892.00",328,60282,23.2,employed,Rejected, 0.76 
7017,I want to start a local transportation service and need funds for a van.,"? 59,495.00",741,13503,60.71,unemployed,Rejected, 0.23 
7018,I need money to purchase a food truck and start my own business.,"? 180,529.00",309,118119,13.96,unemployed,Rejected, 0.65 
7019,I need a loan to pay for a much-needed vacation after years of saving.,"? 136,137.00",402,104967,24.21,unemployed,Rejected, 0.77 
7020,I need money to cover unexpected legal expenses related to a dispute.,"? 44,216.00",499,25031,33.21,employed,Rejected, 0.57 
7021,I want to start a mobile pet grooming service and need funds for supplies.,"? 129,530.00",476,54448,31.18,unemployed,Rejected, 0.42 
7022,I need funds to pay for my pilot training program.,"? 96,591.00",515,58442,25.4,unemployed,Rejected, 0.61 
7023,"I need financial help to cover wedding expenses, including the venue and catering.","? 199,626.00",836,46832,20.18,employed,Approved, 0.23 
7024,I need money to cover unexpected medical expenses from surgery.,"? 171,157.00",474,116176,16.76,employed,Rejected, 0.68 
7025,I need a loan to upgrade my small music studio with better equipment.,"? 176,758.00",596,123376,17.48,employed,Rejected, 0.70 
7026,I need financial support to open a daycare center in my neighborhood.,"? 74,876.00",379,14261,41.39,employed,Rejected, 0.19 
7027,I need money to cover unexpected medical expenses from surgery.,"? 165,256.00",600,11978,18.39,employed,Approved, 0.07 
7028,I need money to purchase specialized tools for my auto repair shop.,"? 61,339.00",703,34695,24.42,employed,Approved, 0.57 
7029,I need a loan to finance my MBA and career advancement.,"? 74,390.00",714,40889,34.17,employed,Approved, 0.55 
7030,I need money to publish and market my self-written book.,"? 94,444.00",811,11582,24.81,employed,Approved, 0.12 
7031,I need financial assistance to launch my own YouTube content creation business.,"? 82,794.00",560,47357,57.65,employed,Rejected, 0.57 
7032,I need funds to pay for my daughter's college tuition.,"? 79,962.00",397,47748,11.26,employed,Rejected, 0.60 
7033,I need funds to pay for my pilot training program.,"? 128,016.00",540,57561,23.12,employed,Rejected, 0.45 
7034,I need a loan to develop and launch my mobile app startup.,"? 157,405.00",580,110718,18.28,unemployed,Rejected, 0.70 
7035,I need a loan to cover hospital bills after an unexpected surgery.,"? 38,971.00",597,18479,13.28,unemployed,Rejected, 0.47 
7036,I need financial help to cover unexpected veterinary bills for my pet.,"? 181,302.00",687,43687,8.26,unemployed,Rejected, 0.24 
7037,I need money to purchase updated equipment for my photography business.,"? 47,287.00",301,21460,81.46,unemployed,Rejected, 0.45 
7038,I need a loan to cover emergency expenses after a natural disaster.,"? 29,538.00",691,2433,108.91,employed,Rejected, 0.08 
7039,I need financial support for medical treatment abroad.,"? 122,096.00",306,55898,19.99,employed,Rejected, 0.46 
7040,I want to make home improvements like installing solar panels.,"? 135,919.00",568,87523,33.21,unemployed,Rejected, 0.64 
7041,I need funds to buy new furniture and appliances for my house.,"? 153,985.00",408,117812,19.41,employed,Rejected, 0.77 
7042,I need a loan to cover hospital bills after an unexpected surgery.,"? 92,733.00",374,55580,7.08,unemployed,Rejected, 0.60 
7043,I need a loan to buy a truck and start a moving business.,"? 163,049.00",594,130335,15.91,unemployed,Rejected, 0.80 
7044,I need a loan to pay off overdue electricity and water bills.,"? 58,666.00",377,23881,56.62,employed,Rejected, 0.41 
7045,I need money to cover adoption fees and related expenses.,"? 199,121.00",580,56432,7.54,employed,Approved, 0.28 
7046,I want to purchase land to start an organic farming venture.,"? 89,750.00",560,61413,6.59,employed,Rejected, 0.68 
7047,I want to expand my small online clothing store.,"? 188,359.00",315,45967,18.8,unemployed,Rejected, 0.24 
7048,"I need a loan for home renovation, including a kitchen remodel.","? 64,284.00",549,44173,75.19,employed,Rejected, 0.69 
7049,I want to purchase land to start an organic farming venture.,"? 187,429.00",331,114697,17.55,unemployed,Rejected, 0.61 
7050,I need money to refinance my home loan at a lower interest rate.,"? 86,212.00",647,30147,23.59,employed,Approved, 0.35 
7051,I need financial assistance to buy farm equipment for my agricultural business.,"? 150,971.00",382,60648,14.37,unemployed,Rejected, 0.40 
7052,I need financial help to cover maternity and delivery expenses.,"? 86,969.00",367,22736,18.61,unemployed,Rejected, 0.26 
7053,I need money to cover adoption fees and related expenses.,"? 61,055.00",305,34269,27.5,employed,Rejected, 0.56 
7054,I need financial help to cover maternity and delivery expenses.,"? 191,330.00",485,134434,4.24,unemployed,Rejected, 0.70 
7055,I need money to cover unexpected legal expenses related to a dispute.,"? 49,009.00",751,36883,62.68,employed,Rejected, 0.75 
7056,I need financial assistance to buy farm equipment for my agricultural business.,"? 61,398.00",727,29187,72.96,employed,Rejected, 0.48 
7057,I need money to buy new tools and materials for my woodworking business.,"? 31,924.00",635,16637,27.37,employed,Approved, 0.52 
7058,I need money to cover unexpected legal expenses related to a dispute.,"? 93,022.00",364,39711,21.7,employed,Rejected, 0.43 
7059,"I need financial help to cover wedding expenses, including the venue and catering.","? 84,766.00",472,7006,34.15,employed,Rejected, 0.08 
7060,I need a loan to buy a truck and start a moving business.,"? 85,693.00",706,32419,17.46,employed,Approved, 0.38 
7061,I want to start a local transportation service and need funds for a van.,"? 93,849.00",602,31404,8.63,unemployed,Rejected, 0.33 
7062,I need financial support to open a daycare center in my neighborhood.,"? 113,003.00",563,79135,16.63,unemployed,Rejected, 0.70 
7063,I need financial help to pay off my high-interest payday loans.,"? 167,362.00",664,6022,23.53,employed,Approved, 0.04 
7064,I need a loan to pay off overdue electricity and water bills.,"? 26,894.00",835,9344,118.71,employed,Rejected, 0.35 
7065,I need a loan to pay for a digital marketing course to grow my business.,"? 165,915.00",721,65432,28.9,employed,Approved, 0.39 
7066,I need a loan to buy a reliable used car for work commuting.,"? 155,093.00",626,44607,4.08,employed,Approved, 0.29 
7067,I need money to start a home-based catering business.,"? 195,917.00",823,28736,19.13,unemployed,Rejected, 0.15 
7068,"I need a loan for home renovation, including a kitchen remodel.","? 102,563.00",420,17417,40.47,employed,Rejected, 0.17 
7069,I want to start a small roadside food stall and need funds for equipment.,"? 147,985.00",474,8779,8.02,employed,Rejected, 0.06 
7070,I need a loan to build a website and market my freelance services.,"? 86,357.00",595,62672,25.3,employed,Rejected, 0.73 
7071,I want to make home improvements like installing solar panels.,"? 38,801.00",782,16873,33.98,unemployed,Rejected, 0.43 
7072,I want to consolidate my credit card debts into one manageable payment.,"? 27,749.00",505,12683,78.53,unemployed,Rejected, 0.46 
7073,I want to start a mobile pet grooming service and need funds for supplies.,"? 198,153.00",816,139925,11.69,unemployed,Rejected, 0.71 
7074,I need money to buy new tools and materials for my woodworking business.,"? 196,739.00",798,126531,9.47,unemployed,Rejected, 0.64 
7075,I need funds to upgrade my computer and buy software for freelance work.,"? 176,991.00",687,99838,17.82,employed,Approved, 0.56 
7076,I need a loan to pay for a down payment on my first home.,"? 55,415.00",524,25801,55.59,employed,Rejected, 0.47 
7077,I need financial support to renovate my rental apartment.,"? 143,198.00",569,20396,8.23,employed,Approved, 0.14 
7078,I want to make home improvements like installing solar panels.,"? 162,404.00",301,58194,10.86,employed,Rejected, 0.36 
7079,I want to start a local transportation service and need funds for a van.,"? 187,616.00",457,35801,15.09,unemployed,Rejected, 0.19 
7080,I need a loan to start a small business.,"? 100,251.00",521,33383,42.96,unemployed,Rejected, 0.33 
7081,I need a loan to pay for an international vacation with my family.,"? 125,422.00",318,52894,11.13,unemployed,Rejected, 0.42 
7082,I need a loan to build a website and market my freelance services.,"? 135,646.00",682,91431,10.08,unemployed,Rejected, 0.67 
7083,I want to buy a car for my rideshare business on Uber.,"? 166,968.00",596,14453,24.93,employed,Approved, 0.09 
7084,I need money to refinance my home loan at a lower interest rate.,"? 132,028.00",501,62588,23.66,employed,Rejected, 0.47 
7085,I need financial help to cover unexpected veterinary bills for my pet.,"? 102,601.00",453,73545,21.58,employed,Rejected, 0.72 
7086,I need money to pay for a vocational training course in plumbing.,"? 108,684.00",549,51524,33.99,unemployed,Rejected, 0.47 
7087,I need a loan to buy a motorcycle for daily transportation.,"? 179,859.00",827,58727,11.16,employed,Approved, 0.33 
7088,I need money to cover funeral expenses for a loved one.,"? 183,608.00",666,97126,11.3,employed,Approved, 0.53 
7089,I need financial support to open a daycare center in my neighborhood.,"? 30,948.00",834,18606,154.53,unemployed,Rejected, 0.60 
7090,I need a loan to install a security system at home.,"? 67,406.00",779,20023,30.43,employed,Approved, 0.30 
7091,I need funds to enroll in a professional certification program.,"? 42,042.00",560,27531,108.45,unemployed,Rejected, 0.65 
7092,I need money to purchase a food truck and start my own business.,"? 139,353.00",636,96356,16.4,unemployed,Rejected, 0.69 
7093,I need funds to buy new furniture and appliances for my house.,"? 196,150.00",760,10683,18.03,unemployed,Rejected, 0.05 
7094,I need a loan to buy a reliable used car for work commuting.,"? 170,974.00",727,18787,20.51,unemployed,Rejected, 0.11 
7095,I need a loan to pay for a much-needed vacation after years of saving.,"? 122,068.00",644,63819,34.96,unemployed,Rejected, 0.52 
7096,I want to invest in a rental property as a source of passive income.,"? 179,802.00",694,9210,6.21,employed,Approved, 0.05 
7097,I need financial help to build my dream home in the countryside.,"? 25,567.00",651,7736,140.07,unemployed,Rejected, 0.30 
7098,I need money to launch my own tech startup focused on AI solutions.,"? 172,189.00",398,137023,4.85,employed,Rejected, 0.80 
7099,I need financial support to renovate my rental apartment.,"? 48,706.00",808,29135,52.48,unemployed,Rejected, 0.60 
7100,I need a loan to repair my car after an accident.,"? 28,309.00",785,4410,55.06,unemployed,Rejected, 0.16 
7101,I need financial help to cover unexpected veterinary bills for my pet.,"? 37,918.00",734,20273,112.77,employed,Rejected, 0.53 
7102,I need funds to pay for my pilot training program.,"? 103,958.00",818,24729,33.97,employed,Approved, 0.24 
7103,I need money to invest in a franchise business opportunity.,"? 84,814.00",615,16560,11.31,employed,Approved, 0.20 
7104,I need a loan to cover moving expenses after being transferred to another city.,"? 161,040.00",639,73867,21,unemployed,Rejected, 0.46 
7105,I need money to invest in stock trading and portfolio building.,"? 48,934.00",448,22475,61.78,unemployed,Rejected, 0.46 
7106,I need a loan to buy a motorcycle for daily transportation.,"? 163,973.00",368,127982,25.16,employed,Rejected, 0.78 
7107,I need financial assistance to buy farm equipment for my agricultural business.,"? 63,580.00",802,41880,65.81,unemployed,Rejected, 0.66 
7108,I need funds to stock inventory for my new retail store.,"? 87,699.00",365,53996,52.37,employed,Rejected, 0.62 
7109,I want to start a mobile pet grooming service and need funds for supplies.,"? 96,599.00",402,74434,28.76,unemployed,Rejected, 0.77 
7110,I need a loan to pay for my son's medical treatment and therapy.,"? 70,672.00",776,5044,28.12,unemployed,Rejected, 0.07 
7111,I need a loan to repair my car after an accident.,"? 139,467.00",726,17250,13.13,unemployed,Rejected, 0.12 
7112,I need a loan to pay for my son's medical treatment and therapy.,"? 168,238.00",713,6714,22.22,unemployed,Rejected, 0.04 
7113,I need financial assistance to buy farm equipment for my agricultural business.,"? 134,086.00",561,72753,16.21,employed,Approved, 0.54 
7114,I need money to start a home-based catering business.,"? 100,065.00",302,8747,5.31,unemployed,Rejected, 0.09 
7115,I need funds to pay for my daughter's college tuition.,"? 136,539.00",678,6916,23.36,employed,Approved, 0.05 
7116,I need a loan to finance my MBA and career advancement.,"? 52,253.00",352,21470,62.6,employed,Rejected, 0.41 
7117,I need a loan to pay for a down payment on my first home.,"? 179,191.00",797,108773,8.6,employed,Rejected, 0.61 
7118,I need money to cover adoption fees and related expenses.,"? 167,276.00",815,87557,28.91,unemployed,Rejected, 0.52 
7119,I need financial help to pay off my high-interest payday loans.,"? 138,869.00",511,34898,16.22,unemployed,Rejected, 0.25 
7120,I need financial help to pay off my high-interest payday loans.,"? 118,260.00",417,79192,39.81,unemployed,Rejected, 0.67 
7121,I need a loan to install a security system at home.,"? 127,753.00",717,43166,36.29,unemployed,Rejected, 0.34 
7122,I need money to invest in stock trading and portfolio building.,"? 116,003.00",820,74438,30.38,employed,Rejected, 0.64 
7123,I need a loan to build a website and market my freelance services.,"? 37,544.00",361,7144,69.63,employed,Rejected, 0.19 
7124,I need financial help to cover maternity and delivery expenses.,"? 189,753.00",356,130909,17.49,unemployed,Rejected, 0.69 
7125,I need financial assistance to buy farm equipment for my agricultural business.,"? 166,340.00",631,106198,10.69,employed,Rejected, 0.64 
7126,I want to make home improvements like installing solar panels.,"? 144,640.00",596,92834,13.62,employed,Rejected, 0.64 
7127,I need financial help to build my dream home in the countryside.,"? 36,060.00",461,13354,77.51,employed,Rejected, 0.37 
7128,I need a loan to buy a reliable used car for work commuting.,"? 96,943.00",423,14055,18.74,unemployed,Rejected, 0.14 
7129,I need financial support to open a daycare center in my neighborhood.,"? 149,552.00",776,20354,18.77,unemployed,Rejected, 0.14 
7130,I need a loan to start a small business.,"? 134,771.00",413,59704,11.28,unemployed,Rejected, 0.44 
7131,I want to make home improvements like installing solar panels.,"? 135,101.00",740,98162,14.03,unemployed,Rejected, 0.73 
7132,I want to consolidate my credit card debts into one manageable payment.,"? 127,593.00",602,92265,13.08,unemployed,Rejected, 0.72 
7133,I need a loan to buy a motorcycle for daily transportation.,"? 169,283.00",324,56223,14.34,employed,Rejected, 0.33 
7134,I need a loan to buy a truck and start a moving business.,"? 126,745.00",772,18759,24.51,employed,Approved, 0.15 
7135,I need a loan to pay for a down payment on my first home.,"? 29,082.00",447,11223,95.55,employed,Rejected, 0.39 
7136,I need money to purchase updated equipment for my photography business.,"? 123,878.00",537,9748,34.43,unemployed,Rejected, 0.08 
7137,I need money to publish and market my self-written book.,"? 100,997.00",731,64241,22.65,employed,Rejected, 0.64 
7138,I need money to buy new tools and materials for my woodworking business.,"? 129,718.00",355,51325,18.14,unemployed,Rejected, 0.40 
7139,I need money to publish and market my self-written book.,"? 61,307.00",345,14380,81.07,unemployed,Rejected, 0.23 
7140,I need money to cover unexpected medical expenses from surgery.,"? 122,440.00",410,94064,21.23,unemployed,Rejected, 0.77 
7141,I need funds to pay for my daughter's college tuition.,"? 193,833.00",489,17952,15.86,employed,Rejected, 0.09 
7142,I need financial help to build my dream home in the countryside.,"? 27,736.00",782,4066,71.53,employed,Rejected, 0.15 
7143,I need financial help to pay off my high-interest payday loans.,"? 196,164.00",356,101631,16.98,unemployed,Rejected, 0.52 
7144,I need financial assistance to launch my own YouTube content creation business.,"? 126,416.00",630,86981,18.81,employed,Rejected, 0.69 
7145,I want to pay off my payday loans and switch to a lower-interest option.,"? 81,423.00",483,11274,28.49,employed,Rejected, 0.14 
7146,I need money to invest in a franchise business opportunity.,"? 168,162.00",584,88802,11.6,employed,Approved, 0.53 
7147,I need funds to stock inventory for my new retail store.,"? 151,223.00",744,62126,6.48,employed,Approved, 0.41 
7148,I need a loan to pay for a much-needed vacation after years of saving.,"? 165,233.00",369,9394,12.54,unemployed,Rejected, 0.06 
7149,I need money to invest in stock trading and portfolio building.,"? 78,812.00",491,15652,15.97,unemployed,Rejected, 0.20 
7150,I need a loan to pay for a down payment on my first home.,"? 166,255.00",694,94558,14.7,unemployed,Rejected, 0.57 
7151,I need a loan to pay for my son's medical treatment and therapy.,"? 54,965.00",718,21663,22.24,employed,Approved, 0.39 
7152,"I need a loan for home renovation, including a kitchen remodel.","? 135,465.00",311,88240,20.52,unemployed,Rejected, 0.65 
7153,I need financial support to pay for my son's football training program.,"? 22,201.00",672,13238,68.7,employed,Rejected, 0.60 
7154,I need a loan to pay for legal fees related to my business license.,"? 159,356.00",804,38918,14.11,employed,Approved, 0.24 
7155,I want to invest in livestock to start a small dairy farm.,"? 70,056.00",651,39448,70.15,unemployed,Rejected, 0.56 
7156,I need money to cover adoption fees and related expenses.,"? 103,352.00",706,20722,42.67,unemployed,Rejected, 0.20 
7157,I need money to pay for a vocational training course in plumbing.,"? 102,219.00",741,5586,6.49,unemployed,Rejected, 0.05 
7158,I need financial support for medical treatment abroad.,"? 107,746.00",654,48999,8.47,employed,Approved, 0.45 
7159,I need a loan to build a website and market my freelance services.,"? 173,977.00",757,20806,16.56,employed,Approved, 0.12 
7160,I need money to purchase specialized tools for my auto repair shop.,"? 156,572.00",556,44853,27.8,employed,Approved, 0.29 
7161,I want to expand my small online clothing store.,"? 65,261.00",765,18505,27.53,unemployed,Rejected, 0.28 
7162,I need money to buy new tools and materials for my woodworking business.,"? 158,925.00",320,9668,30.74,unemployed,Rejected, 0.06 
7163,I need funds to expand my home-based bakery to a physical store.,"? 61,812.00",414,18618,29.01,unemployed,Rejected, 0.30 
7164,I need funds to enroll in a professional certification program.,"? 123,995.00",583,50375,40.14,employed,Approved, 0.41 
7165,I need funds to launch my handmade jewelry brand online.,"? 58,980.00",741,17270,45.74,employed,Approved, 0.29 
7166,I need a loan to develop and launch my mobile app startup.,"? 53,425.00",567,3564,64.52,employed,Rejected, 0.07 
7167,I need a loan to start a small business.,"? 48,104.00",576,8087,82.33,employed,Rejected, 0.17 
7168,I need a loan to pay for a down payment on my first home.,"? 38,953.00",848,2427,58.68,unemployed,Rejected, 0.06 
7169,I need money to pay for a vocational training course in plumbing.,"? 137,292.00",609,88297,30.08,employed,Rejected, 0.64 
7170,I need money to cover unexpected legal expenses related to a dispute.,"? 125,342.00",827,64901,9.74,employed,Approved, 0.52 
7171,I want to consolidate my credit card debts into one manageable payment.,"? 23,723.00",833,11604,26.08,employed,Approved, 0.49 
7172,I need money to buy new tools and materials for my woodworking business.,"? 191,542.00",820,144263,4.04,employed,Rejected, 0.75 
